Year,Month,fill-level
2019,7,0.738463308183427
2019,7,0.742319514913187
2019,8,0.737597538653532
2019,8,0.739736178493632
2019,8,0.758986069353588
2019,8,0.786033553409041
2019,9,0.794647536577346
2019,9,0.807264798997146
2019,9,0.836547998612883
2019,9,0.846216347551279
2019,9,0.845128538353888
2019,10,0.834881045769238
2019,10,0.843175464644798
2019,10,0.85137494009923
2019,10,0.860652124387104
2019,11,0.847645156258242
2019,11,0.819869660414541
2019,11,0.796685790022412
2019,11,0.77764946574686
2019,12,0.752915694506637
2019,12,0.739594043927605
2019,12,0.728983723824626
2019,12,0.716694723233194
2019,12,0.705637630364836
2020,1,0.716255862419576
2020,1,0.725944243746472
2020,1,0.723951161373515
2020,1,0.718062200285728
2020,1,0.885053425313981
2020,2,0.704739090765237
2020,2,0.686179447554983
2020,2,0.67533648240236
2020,2,0.671628919362061
2020,3,0.646835107069469
2020,3,0.621067339126453
2020,3,0.600828454296414
2020,3,0.578525952885169
2020,3,0.551909922709771
2020,4,0.524319880770815
2020,4,0.505219699749848
2020,4,0.4908621446215
2020,4,0.482755985307337
2020,5,0.464807386059478
2020,5,0.450518513405989
2020,5,0.432884428268899
2020,5,0.445675220552669
2020,6,0.491523718460211
2020,6,0.570266436378369
2020,6,0.654819164206106
2020,6,0.74024338510331
2020,6,0.809724237618918
2020,7,0.853196428511307
2020,7,0.870370021221987
2020,7,0.892793502548097
2020,7,0.905010173311023
2020,8,0.943344252949026
2020,8,0.946598702439911
2020,8,0.935136360524635
2020,8,0.940006980473752
2020,8,0.933478890800476
2020,9,0.930398784813991
2020,9,0.94549215145608
2020,9,0.939269990584216
2020,9,0.939861759685407
2020,10,0.949105949451045
2020,10,0.960208493957177
2020,10,0.943296556785929
2020,10,0.950580490361447
2020,11,0.958790851763692
2020,11,0.972034561200911
2020,11,0.962983625065512
2020,11,0.98538410000707
2020,11,0.978650075135485
2020,12,0.956209872095725
2020,12,0.929320739301751
2020,12,0.919463232991829
2020,12,0.910110520426864
2021,1,0.850445706615851
2021,1,0.815885964646482
2021,1,0.792251393569659
2021,1,0.7530972766052
2021,1,
2021,2,0.718697962083234
2021,2,0.679948084129298
2021,2,0.650086189772371
2021,2,0.649294601804374
2021,3,0.620860393891749
2021,3,0.598447517947786
2021,3,0.56789947219987
2021,3,0.548767250579929
2021,3,0.57078379946513
2021,4,0.555862868480916
2021,4,0.524802397601949
2021,4,0.50480968108662
2021,4,0.473676038682149
2021,5,0.454531864964868
2021,5,0.489673668463409
2021,5,0.525930888820805
2021,5,0.571184335008871
2021,5,0.610621093824525
2021,6,0.633811080548158
2021,6,0.660470486175407
2021,6,0.665177087436606
2021,6,0.655248654126504
2021,7,0.667657175691342
2021,7,0.661148332822704
2021,7,0.646490347979983
2021,7,0.652526437702639
2021,8,0.641322272312546
2021,8,0.630780241892494
2021,8,0.612152926243776
2021,8,0.591533089353431
2021,8,0.571903088130165
2021,9,0.553629846351019
2021,9,0.530522794838041
2021,9,0.521405252413706
2021,9,0.548311163034464
2021,10,0.561701720540886
2021,10,0.565234322832322
2021,10,0.574058225231383
2021,10,0.613870156454638
2021,11,0.636641426979419
2021,11,0.631593096737919
2021,11,0.635056174857501
2021,11,0.613702602639337
2021,11,0.582801941963309
2021,12,0.546647520865668
2021,12,0.533296747570582
2021,12,0.501772726099453
2021,12,0.494875524236946
2022,1,0.474744152169839
2022,1,0.46303171402054
2022,1,0.441059242001353
2022,1,0.433703539728659
2022,1,0.419494095215009
2022,1,
2022,2,0.405762650425281
2022,2,0.394902374371112
2022,2,0.374559764414622
2022,2,0.340995301086238
2022,3,0.312192850737944
2022,3,0.28064228775488
2022,3,0.254732469415537
2022,3,0.231716237008407
2022,4,0.214362142376975
2022,4,0.194839247096426
2022,4,0.195521989614581
2022,4,0.186804225206693
2022,5,0.188148850185791
2022,5,0.225939586356428
2022,5,0.251839416558088
2022,5,0.306144360012884
2022,5,0.336032767825178
2022,6,0.378364487344805
2022,6,0.412785882384629
2022,6,0.434225167413532
2022,6,0.457075276890255
2022,7,0.474907216934495
2022,7,0.482272402326675
2022,7,0.483987331899082
2022,7,0.491947316501638
2022,8,0.503465154305505
2022,8,0.501210472506248
2022,8,0.500931085216771
2022,8,0.503042678526738
2022,8,0.501679690524849
2022,9,0.497289174542145
2022,9,0.5064561526367
2022,9,0.505143161436362
2022,9,0.531015299806859
2022,10,0.591590493088545
2022,10,0.624237001673294
2022,10,0.642982884372156
2022,10,0.666285377927562
2022,10,0.70596140314256
2022,11,0.751091175985375
2022,11,0.743152626599645
2022,11,0.727927506321144
2022,11,0.708097012873475
2022,12,0.676986545192956
2022,12,0.645017939368637
2022,12,0.629928500645862
2022,12,0.630043027550426
2023,1,0.620770107860664
2023,1,0.618837290992608
2023,1,0.58940931949359
2023,1,0.564346276388604
2023,1,0.544841575791448
2023,1,
2023,2,0.527052085332364
2023,2,0.510472057343133
2023,2,0.495270672919914
2023,2,0.466967489172971
2023,3,0.43637772331063
2023,3,0.415827017800208
2023,3,0.403846414988042
2023,3,0.380765961100132
2023,4,0.353839597242376
2023,4,0.344411833361951
2023,4,0.342461228630716
2023,4,0.335440970667421
2023,5,0.325587757012178
2023,5,0.359691635888613
2023,5,0.400858643161997
2023,5,0.461495841455709
2023,5,0.508157615057174
2023,6,0.557256550366587
2023,6,0.599610238177805
2023,6,0.635387017889989
2023,6,0.664537566059186
2023,7,0.681798078012967
2023,7,0.711259212373619
2023,7,0.737675704247876
2023,7,0.736617859463536
2023,7,0.733724105191924
2023,8,0.753901602254401
2023,8,0.773703870796144
2023,8,0.771542449024024
2023,8,0.760785336964975
2023,9,0.747713782619967
2023,9,0.746043687440871
2023,9,0.807247740604698
