Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Blåsjø;SN40510;05.08.2015;9,8;12,3;2,8;-
Blåsjø;SN40510;06.08.2015;10,4;11,7;6;-
Blåsjø;SN40510;07.08.2015;8,7;10,4;3,7;-
Blåsjø;SN40510;08.08.2015;8,3;9,5;4,4;-
Blåsjø;SN40510;09.08.2015;8;9,8;4;-
Blåsjø;SN40510;10.08.2015;9;10,2;6,4;-
Blåsjø;SN40510;11.08.2015;13,6;16;6,4;-
Blåsjø;SN40510;12.08.2015;7,2;8,6;4,3;-
Blåsjø;SN40510;13.08.2015;7,2;8,7;4,3;-
Blåsjø;SN40510;14.08.2015;15,1;17;10,1;-
Blåsjø;SN40510;15.08.2015;17,8;21,6;9,5;-
Blåsjø;SN40510;16.08.2015;10,7;12,9;7,6;-
Blåsjø;SN40510;17.08.2015;14,3;16,6;8,3;-
Blåsjø;SN40510;18.08.2015;15,1;18,1;10;-
Blåsjø;SN40510;19.08.2015;12,6;16,2;7,7;-
Blåsjø;SN40510;20.08.2015;10,7;12,3;6,3;-
Blåsjø;SN40510;21.08.2015;13,6;15,6;9;-
Blåsjø;SN40510;22.08.2015;12,8;15,2;6,9;-
Blåsjø;SN40510;23.08.2015;11;13,5;7,2;-
Blåsjø;SN40510;24.08.2015;14;16,8;9,8;-
Blåsjø;SN40510;25.08.2015;13,3;15,9;6,6;-
Blåsjø;SN40510;26.08.2015;11,1;12,5;6,3;-
Blåsjø;SN40510;27.08.2015;7,6;10,2;4,4;-
Blåsjø;SN40510;28.08.2015;9,8;12,5;6,5;-
Blåsjø;SN40510;29.08.2015;9,2;11,3;5,6;-
Blåsjø;SN40510;30.08.2015;7,4;8,8;3,5;-
Blåsjø;SN40510;31.08.2015;3,3;3,8;1,4;-
Blåsjø;SN40510;01.09.2015;10,8;13,1;7,1;-
Blåsjø;SN40510;02.09.2015;15,1;19,2;10,9;-
Blåsjø;SN40510;03.09.2015;11,4;14;8,6;-
Blåsjø;SN40510;04.09.2015;8,2;10,4;4,2;-
Blåsjø;SN40510;05.09.2015;11,2;13;7,4;-
Blåsjø;SN40510;06.09.2015;8,1;9;4,5;-
Blåsjø;SN40510;07.09.2015;14;15,8;4;-
Blåsjø;SN40510;08.09.2015;5,4;6;1,7;-
Blåsjø;SN40510;09.09.2015;5,2;5,6;2,2;-
Blåsjø;SN40510;10.09.2015;6,7;8,4;4,2;-
Blåsjø;SN40510;11.09.2015;13,6;16;8,5;-
Blåsjø;SN40510;12.09.2015;14,2;17,1;10,6;-
Blåsjø;SN40510;13.09.2015;13,5;17;10,7;-
Blåsjø;SN40510;14.09.2015;16;19,6;12;-
Blåsjø;SN40510;15.09.2015;14,6;17,1;7,4;-
Blåsjø;SN40510;16.09.2015;9,4;11,5;7,3;-
Blåsjø;SN40510;17.09.2015;13,7;16;5,4;-
Blåsjø;SN40510;18.09.2015;11,1;13,6;8,6;-
Blåsjø;SN40510;19.09.2015;10,3;11,2;7;-
Blåsjø;SN40510;20.09.2015;8,2;9,4;2,7;-
Blåsjø;SN40510;21.09.2015;6,2;7,9;4,4;-
Blåsjø;SN40510;22.09.2015;9,6;11,1;6,3;-
Blåsjø;SN40510;23.09.2015;8,3;10,5;4,7;-
Blåsjø;SN40510;24.09.2015;13,4;16,4;8,1;-
Blåsjø;SN40510;27.09.2015;9,7;11,1;3,1;-
Blåsjø;SN40510;28.09.2015;4,2;5,5;2,2;-
Blåsjø;SN40510;29.09.2015;6,1;7,4;3,8;-
Blåsjø;SN40510;30.09.2015;9,6;10,7;4,2;-
Blåsjø;SN40510;06.10.2015;24,6;27,7;16,9;-
Blåsjø;SN40510;07.10.2015;21,6;24,6;12,6;-
Blåsjø;SN40510;08.10.2015;15,3;18,4;10,8;-
Blåsjø;SN40510;09.10.2015;11,9;13,4;6,7;-
Blåsjø;SN40510;10.10.2015;7,8;8,8;3,9;-
Blåsjø;SN40510;11.10.2015;5,4;6,5;3,8;-
Blåsjø;SN40510;12.10.2015;8,7;10,8;5;-
